id,ostan,total,heroin,morphine,opium,hashish,other
IRN-3209,"Kohgiluyeh and Buyer Ahmad",3438,96,0,3114,179,48
IRN-3210,Bushehr,1767,48,0,828,871,19
IRN-3211,Esfahan,38074,1488,317,29088,5927,1254
IRN-3212,Fars,42811,769,182,32046,9403,410
IRN-3213,Golestan,4295,2,0,3474,255,563
IRN-3214,Mazandaran,2471,12,0,1090,386,983
IRN-3215,Semnan,861,6,0,674,36,145
IRN-3216,Tehran,27271,461,1956,16536,5827,2492
IRN-3217,Yazd,18267,265,593,15172,1948,289
IRN-3218,"Chahar Mahall and Bakhtiari",870,9,0,749,99,13
IRN-3219,Khuzestan,5224,81,0,2674,2151,318
IRN-3220,Lorestan,2750,95,19,2298,239,100
IRN-3221,Ilam,255,27,0,219,1,8
IRN-3228,Hormozgan,102414,1330,961,81693,18312,119
IRN-3230,Ardebil,787,4,0,456,108,218
IRN-3231,Markazi,3263,72,0,2461,156,575
IRN-3232,Qom,7727,12,80,5361,1991,283
IRN-3233,Hamadan,3640,68,0,3084,1,487
IRN-3234,Zanjan,520,11,11,334,40,126
IRN-3235,Qazvin,964,22,7,748,44,143
IRN-3237,"West Azarbaijan",6018,605,1805,941,639,2028
IRN-3238,"East Azarbaijan",3498,16,41,803,116,2522
IRN-3239,Kermanshah,1384,5,175,1165,11,29
IRN-3240,Gilan,5299,428,0,2431,1459,982
IRN-3241,Kordestan,1171,9,464,362,43,292
IRN-3244,"South Khorasan",30701,469,2982,25567,1656,27
IRN-3245,"Razavi Khorasan",19398,499,117,15547,2375,859
IRN-3246,"North Khorasan",1522,5,0,1129,53,335
IRN-3247,"Sistan and Baluchestan",127598,4858,1901,101469,19086,284
IRN-3248,Kerman,101317,2938,1629,85163,10967,621
IRN-5490,Alborz,7202,56,334,3857,2414,542
